model,len,proc,itr,time
MS4,128,2,25,0.000391
FD4,128,2,25,0.000233
MS2,128,2,25,0.000704
FD2,128,2,25,0.000400
MS4,128,4,25,0.000412
FD4,128,4,25,0.000320
MS2,128,4,25,0.000633
FD2,128,4,25,0.000489
MS4,128,8,25,0.000760
FD4,128,8,25,0.000540
MS2,128,8,25,0.000974
FD2,128,8,25,0.000814
MS4,128,16,25,0.001819
FD4,128,16,25,0.000715
MS2,128,16,25,0.002707
FD2,128,16,25,0.001132
MS4,128,32,25,0.022433
FD4,128,32,25,0.001025
MS2,128,32,25,0.004554
FD2,128,32,25,0.001466
MS4,256,2,33,0.001244
FD4,256,2,33,0.000452
MS2,256,2,32,0.002152
FD2,256,2,32,0.000855
MS4,256,4,33,0.000607
FD4,256,4,33,0.000389
MS2,256,4,32,0.001064
FD2,256,4,32,0.000749
MS4,256,8,33,0.000875
FD4,256,8,33,0.000642
MS2,256,8,32,0.001666
FD2,256,8,32,0.001174
MS4,256,16,33,0.002787
FD4,256,16,33,0.000842
MS2,256,16,32,0.003256
FD2,256,16,32,0.002177
MS4,256,32,33,0.003709
FD4,256,32,33,0.000974
MS2,256,32,32,0.006735
FD2,256,32,32,0.001712
MS4,512,2,43,0.004538
FD4,512,2,43,0.001732
MS2,512,2,42,0.008272
FD2,512,2,42,0.003212
MS4,512,4,43,0.002067
FD4,512,4,43,0.001484
MS2,512,4,42,0.003709
FD2,512,4,42,0.002600
MS4,512,8,43,0.002380
FD4,512,8,43,0.001704
MS2,512,8,42,0.004363
FD2,512,8,42,0.002836
MS4,512,16,43,0.003708
FD4,512,16,43,0.001869
MS2,512,16,42,0.006504
FD2,512,16,42,0.003520
MS4,512,32,43,0.006339
FD4,512,32,43,0.002498
MS2,512,32,42,0.008275
FD2,512,32,42,0.003874
MS4,1024,2,54,0.020377
FD4,1024,2,54,0.007987
MS2,1024,2,50,0.034665
FD2,1024,2,50,0.012742
MS4,1024,4,54,0.008162
FD4,1024,4,54,0.005788
MS2,1024,4,50,0.013055
FD2,1024,4,50,0.009037
MS4,1024,8,54,0.007132
FD4,1024,8,54,0.005830
MS2,1024,8,50,0.014439
FD2,1024,8,50,0.009160
MS4,1024,16,54,0.009797
FD4,1024,16,54,0.006459
MS2,1024,16,50,0.016259
FD2,1024,16,50,0.010077
MS4,1024,32,54,0.013448
FD4,1024,32,54,0.006240
MS2,1024,32,50,0.020483
FD2,1024,32,50,0.031537
MS4,2048,2,62,0.090597
FD4,2048,2,62,0.033783
MS2,2048,2,61,0.166968
FD2,2048,2,61,0.060374
MS4,2048,4,62,0.032679
FD4,2048,4,62,0.025301
MS2,2048,4,61,0.061273
FD2,2048,4,61,0.045786
MS4,2048,8,62,0.034142
FD4,2048,8,62,0.024441
MS2,2048,8,61,0.068992
FD2,2048,8,61,0.048374
MS4,2048,16,62,0.035724
FD4,2048,16,62,0.025616
MS2,2048,16,61,0.059408
FD2,2048,16,61,0.047877
MS4,2048,32,62,0.039346
FD4,2048,32,62,0.027070
MS2,2048,32,61,0.078500
FD2,2048,32,61,0.048751
MS4,4096,2,69,0.380201
FD4,4096,2,69,0.115276
MS2,4096,2,69,0.707315
FD2,4096,2,69,0.213316
MS4,4096,4,69,0.106795
FD4,4096,4,69,0.082454
MS2,4096,4,69,0.208942
FD2,4096,4,69,0.155992
MS4,4096,8,69,0.087278
FD4,4096,8,69,0.072554
MS2,4096,8,69,0.177830
FD2,4096,8,69,0.140493
MS4,4096,16,69,0.099216
FD4,4096,16,69,0.074886
MS2,4096,16,69,0.192692
FD2,4096,16,69,0.145943
MS4,4096,32,69,0.115753
FD4,4096,32,69,0.073094
MS2,4096,32,69,0.187844
FD2,4096,32,69,0.137096
MS4,8192,2,81,1.749177
FD4,8192,2,81,0.562463
MS2,8192,2,81,3.225812
FD2,8192,2,81,1.020470
MS4,8192,4,81,0.496787
FD4,8192,4,81,0.391141
MS2,8192,4,81,0.954323
FD2,8192,4,81,0.726520
MS4,8192,8,81,0.462468
FD4,8192,8,81,0.370461
MS2,8192,8,81,0.880234
FD2,8192,8,81,0.687922
MS4,8192,16,81,0.474240
FD4,8192,16,81,0.367381
MS2,8192,16,81,0.900884
FD2,8192,16,81,0.695031
MS4,8192,32,81,0.483298
FD4,8192,32,81,0.370331
MS2,8192,32,81,0.903037
FD2,8192,32,81,0.713490
MS4,16384,2,96,8.128160
FD4,16384,2,96,2.784883
MS2,16384,2,96,14.911603
FD2,16384,2,96,4.992465
MS4,16384,4,96,2.703396
FD4,16384,4,96,2.130911
MS2,16384,4,96,5.110490
FD2,16384,4,96,3.868028
MS4,16384,8,96,2.417827
FD4,16384,8,96,2.009765
MS2,16384,8,96,4.616057
FD2,16384,8,96,3.676584
MS4,16384,16,96,2.416644
FD4,16384,16,96,1.991390
MS2,16384,16,96,4.603206
FD2,16384,16,96,3.628731
MS4,16384,32,96,2.692432
FD4,16384,32,96,2.043066
MS2,16384,32,96,4.661732
FD2,16384,32,96,3.665336
MS4,32768,2,109,37.276215
FD4,32768,2,109,12.145532
MS2,32768,2,109,68.107604
FD2,32768,2,109,21.681662
MS4,32768,4,109,10.578715
FD4,32768,4,109,7.427591
MS2,32768,4,109,19.962695
FD2,32768,4,109,13.572281
MS4,32768,8,109,8.181229
FD4,32768,8,109,6.606098
MS2,32768,8,109,15.722687
FD2,32768,8,109,12.153538
MS4,32768,16,109,7.850322
FD4,32768,16,109,6.479130
MS2,32768,16,109,15.214379
FD2,32768,16,109,11.906000
MS4,32768,32,109,8.768853
FD4,32768,32,109,6.516067
MS2,32768,32,109,15.318967
FD2,32768,32,109,11.991811
MS4,65536,2,122,164.371389
FD4,65536,2,122,55.634386
MS2,65536,2,122,297.558060
FD2,65536,2,122,98.514769
MS4,65536,4,122,48.610142
FD4,65536,4,122,37.084772
MS2,65536,4,122,91.249789
FD2,65536,4,122,66.763631
MS4,65536,8,122,41.326841
FD4,65536,8,122,34.406113
MS2,65536,8,122,78.359985
FD2,65536,8,122,62.190255
MS4,65536,16,122,40.651705
FD4,65536,16,122,34.006024
MS2,65536,16,122,77.000179
FD2,65536,16,122,61.474871
MS4,65536,32,122,46.137803
FD4,65536,32,122,35.147748
MS2,65536,32,122,94.450217
FD2,65536,32,122,65.296616
SQ4,128,1,25,0.000436
SQ2,128,1,25,0.000876
SQ4,256,1,33,0.001500
SQ2,256,1,32,0.002296
SQ4,512,1,43,0.004237
SQ2,512,1,42,0.008968
SQ4,1024,1,54,0.018322
SQ2,1024,1,50,0.037399
SQ4,2048,1,62,0.082433
SQ2,2048,1,61,0.180766
SQ4,4096,1,69,0.347062
SQ2,4096,1,69,0.769139
SQ4,8192,1,81,1.583936
SQ2,8192,1,81,3.535224
SQ4,16384,1,96,7.355691
SQ2,16384,1,96,16.479973
SQ4,32768,1,109,33.588913
SQ2,32768,1,109,75.493997
SQ4,65536,1,122,147.357998
SQ2,65536,1,122,331.566795
